                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.1366,                0.72061,                 1.0733,                 0.7343,                0.64156,                0.69568,                0.39927,                 1.4535,                0.99712,                  1.312,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.1234,                0.71085,                 1.0644,                0.70711,                0.66901,                0.69495,                0.39685,                 1.4849,                0.98297,                 1.3292,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.1323,                0.71355,                 1.0698,                0.72126,                0.63712,                0.69918,                0.40877,                 1.4505,                0.99844,                 1.3092,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.1218,                0.71157,                 1.0723,                0.72753,                0.64286,                 0.6933,                0.39942,                 1.4621,                0.98798,                 1.3263,               0.008614,               0.008614,               0.008614
                     72,                 1.1221,                0.69595,                 1.0686,                0.74296,                0.63265,                0.69141,                0.40418,                 1.4743,                0.99956,                 1.3251,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.1147,                0.69424,                 1.0597,                0.72847,                0.65872,                0.69284,                0.40977,                 1.4497,                0.97604,                 1.3147,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.1066,                0.69094,                 1.0592,                0.70745,                0.64923,                0.68331,                0.39748,                 1.4573,                 1.0106,                 1.3319,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.0953,                0.68537,                 1.0524,                0.70708,                0.66967,                 0.7025,                0.41409,                 1.4349,                0.98729,                 1.2917,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.0874,                0.67443,                 1.0472,                0.76269,                0.65497,                0.70729,                0.41294,                 1.4413,                0.97356,                  1.321,               0.008515,               0.008515,               0.008515
                     77,                 1.0813,                0.67512,                 1.0507,                 0.7464,                0.64094,                0.69869,                0.41211,                 1.4503,                0.97431,                 1.3264,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.0761,                0.66956,                 1.0405,                0.73124,                0.65625,                0.70006,                0.41399,                 1.4333,                0.96164,                 1.3255,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.0711,                0.66637,                 1.0409,                0.77723,                0.63967,                0.70818,                0.41868,                 1.4142,                0.94786,                 1.3053,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.0644,                0.66858,                 1.0449,                0.70932,                0.65517,                0.68946,                0.40851,                 1.4301,                0.96447,                 1.3351,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.0701,                0.66749,                 1.0439,                 0.7143,                0.67666,                0.69325,                0.41217,                 1.4068,                0.97112,                 1.3152,               0.008416,               0.008416,               0.008416
                     82,                 1.0653,                0.65956,                  1.037,                0.69879,                0.67912,                0.69098,                0.41215,                 1.3978,                0.98526,                 1.3098,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.0434,                0.65228,                 1.0381,                 0.7267,                0.66773,                0.69163,                0.41677,                 1.4104,                0.95668,                 1.3047,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.0605,                0.65199,                 1.0376,                 0.7546,                0.64541,                0.70049,                 0.4204,                 1.4123,                0.95892,                 1.3206,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.0378,                0.64264,                 1.0297,                0.73471,                0.66056,                0.70347,                0.42487,                 1.4033,                0.96965,                 1.2991,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.0404,                 0.6438,                 1.0288,                0.70225,                0.66634,                0.69321,                0.41763,                  1.413,                0.98708,                 1.3102,               0.008317,               0.008317,               0.008317
                     87,                 1.0341,                0.64424,                 1.0255,                0.71891,                0.66901,                  0.702,                0.41879,                 1.4368,                0.98047,                 1.3301,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.0377,                0.63363,                 1.0231,                0.74715,                0.65306,                0.70208,                0.42223,                 1.4143,                0.97804,                 1.3191,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.0275,                0.63944,                 1.0305,                0.73918,                 0.6561,                0.70901,                0.41737,                 1.4111,                0.96975,                 1.3216,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.0414,                0.64431,                 1.0279,                0.72431,                 0.6537,                0.69693,                0.42077,                 1.3928,                0.96763,                 1.3037,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.0097,                0.61747,                 1.0121,                0.72881,                0.67347,                0.70185,                0.42821,                 1.3875,                0.96939,                 1.3157,               0.008218,               0.008218,               0.008218
                     92,                 1.0173,                0.62774,                 1.0158,                0.72047,                0.68382,                0.72103,                0.43547,                 1.3975,                0.93936,                 1.3066,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.0142,                0.62263,                 1.0211,                0.74358,                 0.6824,                0.71751,                0.43702,                 1.3692,                0.91992,                 1.2885,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.0045,                0.61279,                 1.0106,                0.76752,                0.66008,                0.72106,                0.44131,                 1.3663,                0.91835,                 1.2925,              0.0081586,              0.0081586,              0.0081586
                     95,                0.99419,                0.61229,                 1.0103,                0.71784,                0.67921,                0.70892,                0.42799,                 1.3795,                0.94477,                 1.2979,              0.0081388,              0.0081388,              0.0081388
